,camera_id,filename,image_object_ct,image_object_ct_c,image_object_ct_l,image_object_ct_lr,image_object_ct_r,image_std,timestamp
0,589,1447258654_cctv589.jpg,7,10,10,24,17,0.0861545957173,1447258654
1,594,1447258654_cctv594.jpg,5,12,12,13,6,0.0503269761841,1447258654
2,589,1447260454_cctv589.jpg,11,9,9,28,17,0.0845507440766,1447260454
3,594,1447260454_cctv594.jpg,5,20,20,17,9,0.0545994826327,1447260454
4,594,1447262255_cctv594.jpg,5,29,29,27,7,0.054990092279,1447262255
5,594,1447264056_cctv594.jpg,10,9,9,17,10,0.0851624702809,1447264056
6,594,1447265857_cctv594.jpg,8,11,11,17,11,0.0753276852462,1447265857
7,594,1447267660_cctv594.jpg,10,11,11,30,16,0.151628978393,1447267660
8,594,1447269464_cctv594.jpg,5,24,24,29,9,0.0545478809196,1447269464
9,594,1447283868_cctv594.jpg,7,8,8,21,14,0.0962032742553,1447283868
10,594,1447285671_cctv594.jpg,5,8,8,17,10,0.0867122573815,1447285671
11,594,1447287472_cctv594.jpg,5,7,7,15,9,0.078650793745,1447287472
12,594,1447289272_cctv594.jpg,6,12,12,18,7,0.0753281973827,1447289272
13,594,1447291072_cctv594.jpg,10,5,5,12,9,0.156846631065,1447291072
14,594,1447292873_cctv594.jpg,10,6,6,17,14,0.150687511897,1447292873
15,594,1447294674_cctv594.jpg,7,5,5,9,6,0.14349416458,1447294674
16,594,1447296474_cctv594.jpg,5,5,5,12,8,0.112813626569,1447296474
17,594,1447298278_cctv594.jpg,7,8,8,15,8,0.0935733796849,1447298278
18,594,1447301879_cctv594.jpg,6,8,8,14,7,0.086715058492,1447301879
19,594,1447303679_cctv594.jpg,5,9,9,16,8,0.0930962410388,1447303679
20,594,1447305480_cctv594.jpg,8,9,9,20,11,0.0982024039592,1447305480
21,594,1447307280_cctv594.jpg,8,10,10,16,8,0.162508898612,1447307280
22,594,1447309081_cctv594.jpg,6,10,10,15,6,0.0898478703285,1447309081
23,594,1447310881_cctv594.jpg,6,10,10,19,10,0.101852486922,1447310881
24,594,1447312681_cctv594.jpg,5,13,13,21,9,0.0995259646188,1447312681
25,594,1447314485_cctv594.jpg,10,8,8,11,7,0.178982900763,1447314485
26,594,1447316285_cctv594.jpg,6,9,9,16,8,0.106703347613,1447316285
27,594,1447318089_cctv594.jpg,32,9,9,38,33,0.239730071556,1447318089
28,594,1447319889_cctv594.jpg,6,9,9,16,8,0.112265197925,1447319889
29,594,1447321690_cctv594.jpg,10,6,6,16,11,0.188618496131,1447321690
30,594,1447323490_cctv594.jpg,11,5,5,13,11,0.188147464758,1447323490
31,590,1447325291_cctv590.jpg,8,10,10,21,17,0.11585490361,1447325291
32,592,1447325291_cctv592.jpg,21,29,29,48,30,0.169930868434,1447325291
33,594,1447325291_cctv594.jpg,5,7,7,13,7,0.0842835303672,1447325291
34,590,1447327092_cctv590.jpg,3,1,1,5,5,0.23570885005,1447327092
35,592,1447327092_cctv592.jpg,31,30,30,50,37,0.177498192386,1447327092
36,594,1447327092_cctv594.jpg,9,4,4,11,9,0.121473322985,1447327092
37,590,1447328896_cctv590.jpg,11,18,18,29,15,0.110944714649,1447328896
38,592,1447328896_cctv592.jpg,17,35,35,48,24,0.188475455504,1447328896
